county_id,date,unemployment_rate,sahm_value
18149,1990-01-01,8.7,NaN
18149,1990-02-01,9.5,NaN
18149,1990-03-01,8.6,NaN
18149,1990-04-01,7.6,NaN
18149,1990-05-01,7.1,NaN
18149,1990-06-01,6.3,NaN
18149,1990-07-01,6,NaN
18149,1990-08-01,5.9,NaN
18149,1990-09-01,5.7,NaN
18149,1990-10-01,5.4,NaN
18149,1990-11-01,6.5,NaN
18149,1990-12-01,7.7,NaN
18149,1991-01-01,9.8,NaN
18149,1991-02-01,10.4,NaN
18149,1991-03-01,9.2,4.13
18149,1991-04-01,7.5,3.37
18149,1991-05-01,6.5,2.07
18149,1991-06-01,6.6,1.20
18149,1991-07-01,6.7,0.93
18149,1991-08-01,5.5,0.60
18149,1991-09-01,5,0.07
18149,1991-10-01,5.6,0.00
18149,1991-11-01,6.7,0.40
18149,1991-12-01,7.8,1.33
18149,1992-01-01,10.1,2.83
18149,1992-02-01,10.7,4.17
18149,1992-03-01,9.9,4.87
18149,1992-04-01,8.3,4.27
18149,1992-05-01,8.3,3.47
18149,1992-06-01,8.2,2.90
18149,1992-07-01,7.4,2.60
18149,1992-08-01,7.1,2.20
18149,1992-09-01,7.8,2.07
18149,1992-10-01,7.6,2.13
18149,1992-11-01,7.7,1.93
18149,1992-12-01,8,1.07
18149,1993-01-01,10.3,1.23
18149,1993-02-01,10.8,2.27
18149,1993-03-01,9,2.60
18149,1993-04-01,7.4,1.63
18149,1993-05-01,7,0.37
18149,1993-06-01,7,0.00
18149,1993-07-01,4.7,0.00
18149,1993-08-01,4.6,0.00
18149,1993-09-01,4.6,0.00
18149,1993-10-01,4.6,0.00
18149,1993-11-01,5.9,0.43
18149,1993-12-01,5.6,0.77
18149,1994-01-01,7.7,1.80
18149,1994-02-01,7.1,2.20
18149,1994-03-01,6.8,2.60
18149,1994-04-01,5.3,1.80
18149,1994-05-01,4.7,1.00
18149,1994-06-01,4.8,0.33
18149,1994-07-01,4.8,0.17
18149,1994-08-01,5,0.27
18149,1994-09-01,4.4,0.13
18149,1994-10-01,5.1,0.23
18149,1994-11-01,5.2,0.17
18149,1994-12-01,4.9,0.33
18149,1995-01-01,6.4,0.77
18149,1995-02-01,6.2,1.10
18149,1995-03-01,6.3,1.57
18149,1995-04-01,5.6,1.30
18149,1995-05-01,5.9,1.20
18149,1995-06-01,6.7,1.33
18149,1995-07-01,6,1.47
18149,1995-08-01,5.7,1.40
18149,1995-09-01,5.1,0.87
18149,1995-10-01,5.5,0.60
18149,1995-11-01,6.3,0.73
18149,1995-12-01,6.1,0.90
18149,1996-01-01,7.4,1.17
18149,1996-02-01,7.6,1.60
18149,1996-03-01,6.6,1.77
18149,1996-04-01,5.4,1.10
18149,1996-05-01,5.1,0.27
18149,1996-06-01,5.3,0.00
18149,1996-07-01,4.9,0.00
18149,1996-08-01,4.7,0.00
18149,1996-09-01,4.7,0.00
18149,1996-10-01,5,0.03
18149,1996-11-01,5.9,0.43
18149,1996-12-01,5.5,0.70
18149,1997-01-01,6.2,1.10
18149,1997-02-01,6.3,1.23
18149,1997-03-01,6,1.40
18149,1997-04-01,4.5,0.83
18149,1997-05-01,4.5,0.23
18149,1997-06-01,4.6,0.00
18149,1997-07-01,4.4,0.00
18149,1997-08-01,4.8,0.10
18149,1997-09-01,4.4,0.03
18149,1997-10-01,5,0.23
18149,1997-11-01,4.8,0.23
18149,1997-12-01,4.7,0.33
18149,1998-01-01,6,0.67
18149,1998-02-01,5.9,1.03
18149,1998-03-01,5.3,1.23
18149,1998-04-01,3,0.23
18149,1998-05-01,3.4,0.00
18149,1998-06-01,4,0.00
18149,1998-07-01,3.9,0.30
18149,1998-08-01,4,0.50
18149,1998-09-01,4.3,0.60
18149,1998-10-01,4.2,0.70
18149,1998-11-01,4.3,0.80
18149,1998-12-01,4,0.70
18149,1999-01-01,5.3,1.07
18149,1999-02-01,5.5,1.47
18149,1999-03-01,4.6,1.67
18149,1999-04-01,3.5,1.07
18149,1999-05-01,3.8,0.50
18149,1999-06-01,4.3,0.40
18149,1999-07-01,4,0.27
18149,1999-08-01,4.6,0.43
18149,1999-09-01,4.3,0.43
18149,1999-10-01,4.3,0.53
18149,1999-11-01,5.5,0.83
18149,1999-12-01,5.4,1.20
18149,2000-01-01,5.5,1.60
18149,2000-02-01,5.3,1.53
18149,2000-03-01,5.4,1.53
18149,2000-04-01,5,1.37
18149,2000-05-01,4.8,1.20
18149,2000-06-01,4.9,1.03
18149,2000-07-01,5,0.87
