County,SeriesId
Sacramento County,CASACR5URN
San Benito County,CASANB9URN
San Bernardino County,CASANB1URN
San Diego County,CASAND5URN
San Francisco County,
San Joaquin County,CASANJ8URN
San Luis Obispo County,CASANL9URN
San Mateo County,CASANM0URN
Santa Barbara County,CASANT1URN
Santa Clara County,CASANT5URN
Santa Cruz County,CASANT3URN
Shasta County,CASHAS5URN
Sierra County,CASIER1URN
Siskiyou County,CASISK3URN
Solano County,CASOLA5URN
Sonoma County,CASONO6URN
Stanislaus County,CASTAN7URN
Sutter County,CASUTT0URN
Tehama County,CATEHA3URN
Trinity County,CATRIN5URN
Tulare County,CATULA1URN
Tuolumne County,CATUOL9URN
Ventura County,CAVENT2URN
Yolo County,CAYOLO3URN
Yuba County,CAYUBA5URN
Adams County,COADAM1URN
Alamosa County,COALAM3URN
Arapahoe County,COARAP0URN
Archuleta County,COARCH7URN
Baca County,COBACA9URN
Bent County,COBENT1URN
Boulder County,COBOUL3URN
Broomfield County,
Chaffee County,COCHAF5URN
Cheyenne County,COCHEY7URN
Clear Creek County,COCLEA9URN
Conejos County,COCONE1URN
Costilla County,COCOST3URN
Crowley County,COCROW5URN
Custer County,COCUST7URN
Delta County,CODELT9URN
Denver County,
Dolores County,CODOLO3URN
Douglas County,CODOUG5URN
Eagle County,COEAGL7URN
El Paso County,COELPA0URN
Elbert County,COELBE9URN
Fremont County,COFREM3URN
Garfield County,COGARF5URN
Gilpin County,COGILP7URN
Grand County,COGRAN9URN
Gunnison County,COGUNN1URN
Hinsdale County,COHINS3URN
Huerfano County,COHUER5URN
Jackson County,COJACK7URN
Jefferson County,COJEFF9URN
Kiowa County,COKIOW1URN
Kit Carson County,COKITC3URN
La Plata County,COLAPL7URN
Lake County,COLAKE5URN
Larimer County,COLARI1URN
Las Animas County,COLASA1URN
Lincoln County,COLINC3URN
Logan County,COLOGA5URN
Mesa County,COMESA5URN
Mineral County,COMINE9URN
Moffat County,COMOFF1URN
Montezuma County,COMONT3URN
Montrose County,COMONT5URN
Morgan County,COMORG7URN
Otero County,COOTER9URN
Ouray County,COOURA1URN
Park County,COPARK3URN
Phillips County,COPHIL5URN
Pitkin County,COPITK7URN
Prowers County,COPROW9URN
Pueblo County,COPUEB2URN
Rio Blanco County,CORIOB3URN
Rio Grande County,CORIOG5URN
Routt County,COROUT7URN
Saguache County,COSAGU9URN
San Juan County,COSANJ1URN
San Miguel County,COSANM3URN
Sedgwick County,COSEDG5URN
Summit County,COSUMM7URN
Teller County,COTELL9URN
Washington County,COWASH1URN
Weld County,COWELD3URN
Yuma County,COYUMA5URN
Northern Islands Municipality,
Rota Municipality,
Saipan Municipality,
Tinian Municipality,
Capitol Planning Region,
Greater Bridgeport Planning Region,
Lower Connecticut River Valley Planning Region,
Naugatuck Valley Planning Region,
Northeastern Connecticut Planning Region,
Northwest Hills Planning Region,
South Central Connecticut Planning Region,
Southeastern Connecticut Planning Region,
Western Connecticut Planning Region,
Kent County,DEKENT1URN
New Castle County,DENEWC3URN
Sussex County,DESUSS0URN
District of Columbia,
Alachua County,FLALAC1URN
Baker County,FLBAKE3URN
Bay County,FLBAYC5URN
Bradford County,FLBRAD7URN
Brevard County,FLBREV3URN
Broward County,FLBROW5URN
Calhoun County,FLCALH3URN
Charlotte County,FLCHAR5URN
Citrus County,FLCITR5URN
Clay County,FLCLAY5URN
Collier County,FLCOLL0URN
Columbia County,FLCOLU3URN
DeSoto County,FLDESO7URN
Dixie County,FLDIXI9URN
Duval County,FLDUVA0URN
Escambia County,FLESCA0URN
Flagler County,FLFLAG5URN
Franklin County,FLFRAN7URN
Gadsden County,FLGADS9URN
Gilchrist County,FLGILC1URN
Glades County,FLGLAD3URN
Gulf County,FLGULF5URN
Hamilton County,FLHAMI7URN
Hardee County,FLHARD9URN
Hendry County,FLHEND1URN
Hernando County,FLHERN3URN
Highlands County,FLHIGH5URN
Hillsborough County,FLHILL7URN
Holmes County,FLHOLM9URN
Indian River County,FLINDI0URN
Jackson County,FLJACK3URN
Jefferson County,FLJEFF5URN
Lafayette County,FLLAFA7URN
Lake County,FLLAKE4URN
Lee County,FLLEEC7URN
Leon County,FLLEON3URN
Levy County,FLLEVY5URN
Liberty County,FLLIBE7URN
Madison County,FLMADI9URN
Manatee County,FLMANA1URN
Marion County,FLMARI7URN
Martin County,FLMART7URN
Miami-Dade County,FLMIAM6URN
Monroe County,FLMONR5URN
Nassau County,FLNASS9URN
Okaloosa County,FLOKAL7URN
Okeechobee County,FLOKEE3URN
Orange County,FLORAN0URN
Osceola County,FLOSCE7URN
Palm Beach County,FLPALM2URN
Pasco County,FLPASC5URN
Pinellas County,FLPINE5URN
Polk County,FLPOLK5URN
Putnam County,FLPUTN7URN
Santa Rosa County,FLSANT7URN
Sarasota County,FLSARA5URN
Seminole County,FLSEMI0URN
St. Johns County,FLSTJO9URN
St. Lucie County,FLSTLU5URN
Sumter County,FLSUMT9URN
Suwannee County,FLSUWA1URN
Taylor County,FLTAYL3URN
Union County,FLUNIO5URN
Volusia County,FLVOLU7URN
Wakulla County,FLWAKU9URN
Walton County,FLWALT1URN
Washington County,FLWASH3URN
Appling County,GAAPPL1URN
Atkinson County,GAATKI3URN
Bacon County,GABACO5URN
Baker County,GABAKE7URN
Baldwin County,GABALD9URN
Banks County,GABANK1URN
Barrow County,GABARR3URN
Bartow County,GABART5URN
Ben Hill County,GABENH7URN
Berrien County,GABERR9URN
Bibb County,GABIBB1URN
Bleckley County,GABLEC3URN
Brantley County,GABRAN5URN
Brooks County,GABROO7URN
Bryan County,GABRYA9URN
Bulloch County,GABULL1URN
Burke County,GABURK3URN
Butts County,GABUTT5URN
Calhoun County,GACALH7URN
Camden County,GACAMD9URN
Candler County,GACAND3URN
Carroll County,GACARR0URN
Catoosa County,GACATO7URN
Charlton County,GACHAR9URN
Chatham County,GACHAT9URN
Chattahoochee County,GACHAT3URN
Chattooga County,GACHAT5URN
Cherokee County,GACHER5URN
Clarke County,GACLAR5URN
Clay County,GACLAY1URN
Clayton County,GACLAY5URN
Clinch County,GACLIN5URN
Cobb County,GACOBB0URN
Coffee County,GACOFF9URN
Colquitt County,GACOLQ1URN
Columbia County,GACOLU3URN
Cook County,GACOOK5URN
Coweta County,GACOWE7URN
Crawford County,GACRAW9URN
Crisp County,GACRIS1URN
Dade County,GADADE3URN
Dawson County,GADAWS5URN
Decatur County,GADECA7URN
DeKalb County,GADEKA9URN
Dodge County,GADODG1URN
Dooly County,GADOOL3URN
Dougherty County,GADOUG5URN
Douglas County,GADOUG0URN
Early County,GAEARL9URN
Echols County,GAECHO1URN
Effingham County,GAEFFI3URN
Elbert County,GAELBE5URN
Emanuel County,GAEMAN7URN
Evans County,GAEVAN9URN
Fannin County,GAFANN1URN
Fayette County,GAFAYE3URN
Floyd County,GAFLOY0URN
Forsyth County,GAFORS7URN
Franklin County,GAFRAN9URN
Fulton County,GAFULT1URN
Gilmer County,GAGILM3URN
Glascock County,GAGLAS5URN
Glynn County,GAGLYN5URN
Gordon County,GAGORD9URN
Grady County,GAGRAD1URN
Greene County,GAGREE3URN
Gwinnett County,GAGWIN7URN
Habersham County,GAHABE7URN
Hall County,GAHALL0URN
Hancock County,GAHANC1URN
Haralson County,GAHARA3URN
Harris County,GAHARR5URN
Hart County,GAHART7URN
Heard County,GAHEAR9URN
Henry County,GAHENR1URN
Houston County,GAHOUS5URN
Irwin County,GAIRWI5URN
Jackson County,GAJACK7URN
Jasper County,GAJASP9URN
Jeff Davis County,GAJEFF1URN
Jefferson County,GAJEFF3URN
Jenkins County,GAJENK5URN
Johnson County,GAJOHN7URN
Jones County,GAJONE9URN
Lamar County,GALAMA1URN
Lanier County,GALANI3URN
Laurens County,GALAUR5URN
Lee County,GALEEC7URN
Liberty County,GALIBE9URN
Lincoln County,GALINC1URN
Long County,GALONG3URN
Lowndes County,GALOWN5URN
Lumpkin County,GALUMP7URN
Macon County,GAMACO3URN
Madison County,GAMADI5URN
Marion County,GAMARI7URN
McDuffie County,GAMCDU9URN
McIntosh County,GAMCIN1URN
Meriwether County,GAMERI9URN
Miller County,GAMILL1URN
Mitchell County,GAMITC5URN
Monroe County,GAMONR7URN
Montgomery County,GAMONT9URN
Morgan County,GAMORG1URN
Murray County,GAMURR3URN
Muscogee County,GAMUSC0URN
Newton County,GANEWT7URN
Oconee County,GAOCON9URN
Oglethorpe County,GAOGLE1URN
Paulding County,GAPAUL3URN
Peach County,GAPEAC5URN
Pickens County,GAPICK7URN
Pierce County,GAPIER9URN
Pike County,GAPIKE1URN
Polk County,GAPOLK3URN
Pulaski County,GAPULA5URN
Putnam County,GAPUTN7URN
Quitman County,GAQUIT9URN
Rabun County,GARABU1URN
Randolph County,GARAND3URN
Richmond County,GARICH5URN
Rockdale County,GAROCK7URN
Schley County,GASCHL9URN
Screven County,GASCRE1URN
Seminole County,GASEMI3URN
Spalding County,GASPAL5URN
Stephens County,GASTEP7URN
Stewart County,GASTEW9URN
Sumter County,GASUMT1URN
Talbot County,GATALB3URN
Taliaferro County,GATALI5URN
Tattnall County,GATATT7URN
Taylor County,GATAYL9URN
Telfair County,GATELF1URN
Terrell County,GATERR3URN
Thomas County,GATHOM5URN
Tift County,GATIFT7URN
Toombs County,GATOOM9URN
Towns County,GATOWN1URN
Treutlen County,GATREU3URN
Troup County,GATROU5URN
Turner County,GATURN7URN
Twiggs County,GATWIG9URN
Union County,GAUNIO1URN
Upson County,GAUPSO3URN
Walker County,GAWALK0URN
Walton County,GAWALT7URN
Ware County,GAWARE9URN
Warren County,GAWARR1URN
Washington County,GAWASH3URN
Wayne County,GAWAYN5URN
Webster County,GAWEBS7URN
Wheeler County,GAWHEE9URN
White County,GAWHIT1URN
Whitfield County,GAWHIT5URN
Wilcox County,GAWILC5URN
Wilkes County,GAWILK7URN
Wilkinson County,GAWILK9URN
Worth County,GAWORT1URN
Guam,
Hawaii County,HIHAWA0URN
Honolulu County,
Kalawao County,
Kauai County,HIKAUA7URN
Maui County,HIMAUI5URN
Ada County,IDADAC1URN
Adams County,IDADAM3URN
Bannock County,IDBANN5URN
Bear Lake County,IDBEAR7URN
Benewah County,IDBENE9URN
Bingham County,IDBING1URN
Blaine County,IDBLAI3URN
Boise County,IDBOIS5URN
Bonner County,IDBONN7URN
Bonneville County,IDBONN0URN
Boundary County,IDBOUN1URN
Butte County,IDBUTT3URN
Camas County,IDCAMA5URN
Canyon County,IDCANY5URN
Caribou County,IDCARI9URN
Cassia County,IDCASS1URN
Clark County,IDCLAR3URN
Clearwater County,IDCLEA5URN
Custer County,IDCUST7URN
Elmore County,IDELMO9URN
Franklin County,IDFRAN1URN
Fremont County,IDFREM3URN
Gem County,IDGEMC5URN
Gooding County,IDGOOD7URN
Idaho County,IDIDAH9URN
Jefferson County,IDJEFF1URN
Jerome County,IDJERO3URN
Kootenai County,IDKOOT0URN
Latah County,IDLATA7URN
Lemhi County,IDLEMH9URN
Lewis County,IDLEWI1URN
Lincoln County,IDLINC3URN
Madison County,IDMADI5URN
Minidoka County,IDMINI7URN
Nez Perce County,IDNEZP9URN
Oneida County,IDONEI1URN
Owyhee County,IDOWYH3URN
Payette County,IDPAYE5URN
Power County,IDPOWE7URN
Shoshone County,IDSHOS9URN
Teton County,IDTETO1URN
Twin Falls County,IDTWIN5URN
Valley County,IDVALL5URN
